project_id	run_accession	sample_accession	experiment_accession	sample_alias	experiment_alias	genotype	treatment	salinity_mM	replicate	tissue	library_layout	platform	read_length	read_count	base_count	fastq_1_url	fastq_1_md5	fastq_1_bytes	fastq_2_url	fastq_2_md5	fastq_2_bytes	order
PRJNA1347747	SRR35859425	SAMN52897348	SRX30908698	UD_WT_control	MT-WT-C-R1	WT	Control	0	R1	leaf	PAIRED	BGISEQ-500	100	35036705	7007341000	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/025/SRR35859425/SRR35859425_1.fastq.gz	3fc4a4f04af9881aa6c2a3025c7c17c6	2686224958	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/025/SRR35859425/SRR35859425_2.fastq.gz	3e6a83236f63da98f3e1e0a5feea2214	2767659221	1
PRJNA1347747	SRR35859424	SAMN52897348	SRX30908699	UD_WT_control	MT-WT-C-R2	WT	Control	0	R2	leaf	PAIRED	BGISEQ-500	100	35341002	7068200400	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/024/SRR35859424/SRR35859424_1.fastq.gz	667e5a2f4b5318ec1c5e384efabef97c	2682172538	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/024/SRR35859424/SRR35859424_2.fastq.gz	3bbde717cc5d55f6b9d66f9e3e879e8a	2776221729	2
PRJNA1347747	SRR35859415	SAMN52897348	SRX30908708	UD_WT_control	MT-WT-C-R3	WT	Control	0	R3	leaf	PAIRED	BGISEQ-500	100	34302223	6860444600	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/015/SRR35859415/SRR35859415_1.fastq.gz	a9c90e4f4873e88fcf5399e801743c68	2612598941	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/015/SRR35859415/SRR35859415_2.fastq.gz	41fa91cdfd7059ff2559abc177947cda	2693297940	3
PRJNA1347747	SRR35859408	SAMN52897351	SRX30908715	UD_WT_salt	MT-WT-75-Sal-R1	WT	Salt	75	R1	leaf	PAIRED	BGISEQ-500	100	35393517	7078703400	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/008/SRR35859408/SRR35859408_1.fastq.gz	7d75346fab8988c04f8ddc21f8c25d48	2775293765	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/008/SRR35859408/SRR35859408_2.fastq.gz	798d111a6105c23b27a819441ceb4648	2840167150	4
PRJNA1347747	SRR35859423	SAMN52897351	SRX30908700	UD_WT_salt	MT-WT-75-Sal-R2	WT	Salt	75	R2	leaf	PAIRED	BGISEQ-500	100	35475588	7095117600	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/023/SRR35859423/SRR35859423_1.fastq.gz	d9eedcff4278478b02ae6c7e37332d06	2726064405	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/023/SRR35859423/SRR35859423_2.fastq.gz	6cbd162648bfaaa6f446a09cceef4a9d	2776389916	5
PRJNA1347747	SRR35859422	SAMN52897351	SRX30908701	UD_WT_salt	MT-WT-75-Sal-R3	WT	Salt	75	R3	leaf	PAIRED	BGISEQ-500	100	35321206	7064241200	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/022/SRR35859422/SRR35859422_1.fastq.gz	49feb072ed15d6c70623f619974462a6	2739483102	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/022/SRR35859422/SRR35859422_2.fastq.gz	d9bec74444188856eb812981f3b17878	2793284752	6
PRJNA1347747	SRR35859414	SAMN52897349	SRX30908709	UD_epi_control	MT-epi-C-R1	epi	Control	0	R1	leaf	PAIRED	BGISEQ-500	100	35027634	7005526800	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/014/SRR35859414/SRR35859414_1.fastq.gz	0eff6871ef25b8f3a0c58d67222f0b98	2676169792	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/014/SRR35859414/SRR35859414_2.fastq.gz	e7ab511186b76213b7bdd2c360cafb9c	2783261192	7
PRJNA1347747	SRR35859413	SAMN52897349	SRX30908710	UD_epi_control	MT-epi-C-R2	epi	Control	0	R2	leaf	PAIRED	BGISEQ-500	100	35478020	7095604000	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/013/SRR35859413/SRR35859413_1.fastq.gz	f1239ae7da2cb2a2a919800321d9973c	2691958738	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/013/SRR35859413/SRR35859413_2.fastq.gz	7fe176b95715797821b03f17529fc4d9	2774597989	8
PRJNA1347747	SRR35859412	SAMN52897349	SRX30908711	UD_epi_control	MT-epi-C-R3	epi	Control	0	R3	leaf	PAIRED	BGISEQ-500	100	35127814	7025562800	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/012/SRR35859412/SRR35859412_1.fastq.gz	1cfe2a5bba4f72eb8e9c5e9516b881c8	2642790321	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/012/SRR35859412/SRR35859412_2.fastq.gz	c02df30f1a1601836f84a1e7519a8a5f	2664873050	9
PRJNA1347747	SRR35859421	SAMN52897352	SRX30908702	UD_epi_salt	MT-epi-75-Sal-R1	epi	Salt	75	R1	leaf	PAIRED	BGISEQ-500	100	35428190	7085638000	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/021/SRR35859421/SRR35859421_1.fastq.gz	5909471e39c7fb37c9fead5d8eea68bd	2744858331	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR358/021/SRR35859421/SRR35859421_2.fastq.gz	759ef3182f435741b50819ec313ddc38	2788776111	10
